TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,MC,PANAL,PVEM,PES,M,PT,CQ,QI,MORENA_PT_PES,MORENA_PT,MORENA_PES,PT_PES,PRI_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO
411,119,57,8,6,12,21,5,98,6,11,45,4,0,2,0,2,,3,,,1,11,411
296,82,28,4,5,4,15,8,92,9,5,27,4,0,2,0,2,,2,,,0,7,296
Sin dato,74,28,8,1,5,8,2,97,9,8,21,5,0,1,0,0,,5,,,0,15,287
455,150,45,8,7,2,10,0,133,10,6,52,3,0,0,0,3,,4,,,1,21,455
464,139,61,7,12,10,20,7,127,8,9,35,5,2,0,0,2,,5,,,0,15,464
436,139,49,5,2,5,16,2,139,5,5,41,4,1,2,0,0,,3,,,0,18,436
424,133,49,3,4,6,22,7,124,6,11,38,6,0,0,0,1,,3,,,1,10,424
453,159,54,7,10,15,15,6,116,8,7,31,7,1,0,0,0,,0,,,0,Ilegible,455
400,120,57,8,7,4,15,6,105,12,12,36,5,0,0,0,0,,3,,,0,13,404
380,119,45,0,8,8,11,9,127,5,7,25,0,0,0,0,0,,0,,,2,14,380
Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,,Ilegible,,,Ilegible,Ilegible,Ilegible
372,107,42,4,7,8,16,2,127,9,5,29,3,1,2,0,0,,0,,,0,10,372
401,109,39,9,10,7,14,6,152,6,4,23,Sin dato,Sin dato,Sin dato,Sin dato,Sin dato,,Sin dato,,,Sin dato,22,401
397,96,53,4,9,5,18,6,120,12,12,37,6,0,1,1,1,,4,,,0,10,395
413,119,44,4,7,8,16,9,127,7,9,30,2,1,2,0,4,,5,,,1,18,413
,,,,,,,,,,,,,,,,,,,,,,,
324,84,32,8,0,3,17,5,111,8,6,30,5,0,0,0,2,,1,,,0,12,324
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
659,106,66,11,4,9,12,2,101,8,7,32,3,3,1,1,0,,1,,,Sin dato,16,383
362,94,53,3,2,7,9,5,99,3,8,37,8,0,1,1,3,,7,,,0,17,362
369,79,52,7,7,7,12,6,127,5,13,24,5,1,0,0,2,,2,,,0,22,371
438,123,46,12,3,8,12,3,151,9,6,37,4,0,0,0,4,,2,,,0,18,438
417,130,54,4,2,8,17,5,130,9,9,27,2,0,0,0,2,,3,,,2,13,417
,,,,,,,,,,,,,,,,,,,,,,,
458,124,57,6,9,3,22,8,143,7,17,39,4,1,0,0,3,,1,,,0,14,458
423,135,56,7,10,6,14,9,114,8,6,32,1,0,0,0,2,,2,,,1,20,423
505,171,46,1,9,8,20,6,145,6,8,35,7,2,1,1,0,,5,,,1,33,505
485,168,49,6,4,9,23,4,139,14,5,33,6,1,2,0,2,,1,,,0,19,485
498,158,57,11,6,11,21,9,134,7,7,40,5,0,0,0,1,,2,,,6,24,498
295,87,41,7,0,4,14,5,82,5,5,23,7,1,0,0,2,,1,,,0,11,295
290,105,31,3,4,7,16,8,64,3,9,23,0,0,0,0,0,,2,,,0,14,290
438,169,42,2,7,6,15,9,118,8,1,41,6,0,0,1,0,,0,,,0,13,438
480,167,44,8,8,11,13,5,142,8,8,47,3,0,1,0,1,,2,,,1,11,480
464,161,43,3,8,8,13,5,129,9,9,44,5,0,1,0,2,,1,,,0,26,467
464,155,54,5,9,3,25,6,146,5,4,28,4,0,0,0,0,,1,,,0,19,464
Sin dato,139,48,3,7,6,19,7,143,8,4,34,2,0,1,0,2,,4,,,2,18,447
Sin dato,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,Ilegible,,Ilegible,,,Ilegible,Ilegible,Ilegible
373,88,54,8,4,10,15,2,114,12,6,30,9,3,1,0,2,,2,,,2,11,373
376,85,57,5,5,6,18,8,136,8,6,18,5,0,0,0,1,,1,,,0,17,376
411,128,43,5,6,7,20,8,114,3,9,40,3,3,0,0,2,,1,,,0,19,411
416,103,63,3,8,6,16,8,143,6,4,34,4,0,1,0,1,,0,,,0,16,416
413,117,49,3,9,6,22,9,18,6,6,34,4,0,1,0,1,,2,,,1,25,413
423,119,56,9,5,6,14,7,129,4,5,44,5,0,0,0,1,,2,,,1,16,423
428,111,57,2,5,9,4,8,141,6,12,40,0,0,0,0,1,,4,,,0,20,428
